seq	rf	ada	mlp	ens
a/swine/minnesota/a01432544/2013	1.2032723124246478	1.0950761508806484	1.6921543959245848	1.3273372538334887
a/swine/minnesota/a01471950/2015	2.6229347374790377	2.1464229394682763	0.480542548576419	1.6697885946111084
a/swine/minnesota/a01480518/2014	1.586925951152966	1.3225175342115925	2.024807646334224	1.6354590648856797
a/swine/minnesota/a01847477/2015	1.087958311570363	0.8590556467174658	0.13564934123944178	0.6018597252382771
a/swine/missouri/a01410819/2014	1.764718299844909	1.8151912194265094	2.146503491936142	1.9044487087988662
a/swine/missouri/a01476459/2012	0.5435235653261649	0.6210703724761417	0.33292572032770584	0.3395077140073726
a/swine/nebraska/a01241171/2012	3.108401305321825	3.339536422124677	2.9833093620372546	3.118034591224852
a/swine/nebraska/a01271549/2012	2.8761815700363518	2.8970920359464185	2.6737771103380905	2.8426979142705453
a/swine/nebraska/a01478775/2015	1.814178558806848	1.6244121618722784	2.0659264892662184	1.843955339654712
a/swine/nebraska/a01493501/2014	1.5640742907366705	1.3880985601832077	1.7736096881246444	1.5813473261785023
a/swine/nebraska/a01567651/2015	1.7754505605869835	1.6312761766661792	2.0609126573805985	1.8236827588005842
a/swine/newyork/a01104005/2011	0.9130308585024659	0.8496558875767488	1.1876682197407142	0.9797801846561628
a/swine/north_carolina/a01410118/2014	0.719263959853615	0.9102381655863702	1.1619980809566206	0.8696724634748974
a/swine/north_carolina/a01410709/2014	0.6978427186185336	0.858090268488667	1.4124801054541825	0.9857641655106986
a/swine/north_carolina/a01432566/2013	1.5832839554087035	1.6840590390175039	2.459176978251875	1.8846883184150822
a/swine/north_carolina/a01476722/2014	1.2077541713899407	0.8560439901010284	2.4219513938016637	1.3954357707591967
a/swine/north_carolina/a01730588/2016	1.9027783710301402	1.5439791916210552	2.4214970507183464	1.9788527949099506
a/swine/north_carolina/a01732564/2016	0.6555652716547151	0.7169175820923878	0.4106025572291587	0.5759681923385329
a/swine/ohio/16tosu4788/2016	1.2679720142288922	1.3049011892932165	1.1836889650839368	1.247251583730259
a/swine/ohio/a01354299/2017	1.3571519911762742	1.5320863617986156	2.245991897459353	1.6679378529241757
a/swine/oklahoma/a01776961/2016	1.8452274593923368	1.620292639984092	2.5961616933503278	2.2041068927539555
a/swine/oklahoma/a02218157/2017	2.1569354175031212	2.3657832473064153	2.430507190444119	2.291568516470374
a/swine/pennsylvania/a01076777/2010	1.1843756032588537	1.1800873738112343	1.1472408506810348	1.13130373086004
a/swine/saskatchewan/sd0059/2014	1.5135454289266361	1.2606923244641561	1.7387392599184948	1.4175562421122212
a/swine/saskatchewan/sd0065/2014	5.741932998388329	3.4384781913287195	3.77006737122436	3.620553691682078
a/swine/saskatchewan/sd0069/2015	2.4812195846725893	1.9364302594697733	1.8124437176884973	1.8230588805274766
a/swine/texas/4199-1/1998	1.6203345041696147	1.6725759285206534	1.585589058587891	1.6205301409026158
a/swine/texas/4199-2/1998	1.696084495964836	1.7513456750784453	1.7495324824651681	1.712015053484285
a/swine/texas/a01049914/2011	0.5486484445289038	0.6264729274246041	0.3994615609859142	0.4897299603023268
a/swine/wyoming/a01381202/2013	0.8624952938718657	0.9060343775788918	1.157367560693957	0.8081900772843333
a/swine/wyoming/a01397400/2013	1.6705213965444892	1.6087799519277257	1.3563221384550215	1.483697335837648
a/swine/wyoming/a01444562/2013	1.0970199593392644	1.1734035601023904	1.4571946424233742	1.2208550174920443
a/swine/wyoming/a01444566/2013	0.7187395760969713	0.77592866879073	0.7198115635761264	0.6980436758108668
a/swine/wyoming/a01445305/2013	0.5393172402156172	0.4797450529039207	0.9469754109578681	0.6008163846372827
a/sydney/5/1997	1.9339940884956268	1.5429646919017805	0.9837947621477985	1.370277331066256
a/texas/1/1977	1.4538404510538523	1.1642910084235343	1.1310042414304116	1.1368163135271878
a/turkey/ohio/313053/2004	1.0332407825569399	1.0910425323540256	1.2271083996400414	1.0996320359087306
a/victoria/361/2011	1.4521876583913642	1.7715067240398032	1.838179169356652	1.687835201569449
a/wisconsin/67/2005	1.1324034201085231	1.152276233050124	0.9065861917985859	1.0446384077932813
a/wuhan/359/1995	1.4006917876585916	1.0374707355632984	0.9959866577574688	0.9686222515105813
