,a/wuhan/359/1995,a/sydney/5/1997,a/moscow/10/1999,a/fujian/411/2002,a/wisconsin/67/2005,a/brisbane/10/2007,a/perth/16/2009,a/victoria/361/2011,a/swine/texas/4199-1/1998,a/swine/colorado/23619/1999,a/swine/minnesota/1146/2006,a/swine/iowa/1700/2007,a/swine/minnesota/2782/2009,a/swine/illinois/02970/2009,a/indiana/8/2011,a/swine/newyork/a01104005/2011,a/swine/indiana/a00968373/2012,a/swine/indiana/a01202866/2011,a/swine/illinois/a01201606/2011,a/swine/iowa/a01202613/2011,a/swine/iowa/a01049750/2011,a/swine/texas/a01049914/2011,a/swine/michigan/a01432375/2013,a/swine/iowa/a01432500/2013,a/swine/minnesota/a01432544/2013,a/swine/minnesota/a01280592/2013,a/turkey/ohio/313053/2004,a/swine/iowa/a01480656/2014,a/swine/wyoming/a01444562/2013,a/swine/pennsylvania/a01076777/2010,a/swine/missouri/a01410819/2014
a/swine/minnesota/2782/2009,4.5,-1,7.2,-1,-1,-1,9.9,-1,3.6,-1,-1,0.7,0,0.5,3.3,0.7,3.3,4.6,4.6,2.1,1.2,1.7,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/illinois/02970/2009,7.1,-1,8.2,-1,-1,-1,-1,-1,7,-1,-1,2,1.5,0,4.8,4.3,4.2,6.5,-1,3.6,4.9,5.3,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/pennsylvania/a01076777/2010,5.7,-1,7.7,-1,-1,9.2,7,7.7,4.7,-1,-1,0.2,0.8,1.7,0.4,-1.9,1.4,4.3,1.4,1,1.6,2.7,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/indiana/8/2011,5.9,-1,6.5,-1,-1,8.7,7.7,7.7,6.7,-1,-1,1.6,1.7,-1,0,0.7,2.1,6.4,4.7,4.3,4.5,4.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/newyork/a01104005/2011,5.6,-1,7.6,-1,-1,8.7,8.5,8.4,4.1,-1,-1,1.5,2.4,3.4,1.7,0,1.1,4,5.2,2.9,4.3,2.9,-1,4.4,4.4,2,-1,2.9,-1,-1,-1
a/swine/indiana/a00968373/2012,3.9,-1,5.8,8,9.2,5.9,7,6.4,3,-1,-1,1.1,0.5,2.4,0.6,-1.7,0,3,1.8,1.8,1.3,1.7,-1,-1,-1,-1,-1,-1,-1,-1,9.7
a/swine/illinois/a01241469/2012,5.4,-1,-1,-1,-1,-1,8.2,6.7,3.1,-1,-1,0.5,1.8,-1,1.6,0.2,1,4.2,4.7,2.9,2.8,2.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/michigan/a01259000/2012,5.4,-1,-1,-1,-1,9.7,8.8,9.1,4.8,-1,-1,1.8,2.8,6.2,1.3,0.6,1.6,3,3.3,1.9,2.7,2.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/indiana/a01202866/2011,6.6,-1,8.2,-1,-1,-1,8.8,9.1,5.2,-1,-1,3.3,3.6,-1,-1,2.6,4.3,0,-1,5.6,2.9,3.3,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/illinois/a01201606/2011,-1,-1,-1,-1,-1,-1,6.5,6.9,7.3,-1,-1,2.8,4,4,2.8,0.2,2.7,6.2,0,1.5,4.7,4.2,-1,-1,-1,-1,-1,-1,-1,-1,8.7
a/swine/iowa/a01202613/2011,6.6,8.7,7.2,-1,9.7,-1,7.2,7.6,6.5,-1,-1,0.8,2.4,3.2,3.5,1.6,3.3,5.9,3,0,1.8,3.7,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/iowa/a01202889/2011,-1,-1,7.6,-1,-1,-1,7.2,7.1,7.3,-1,-1,1,2.3,2.2,2.6,0.3,4.1,7,1.3,1,2.8,3.9,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/iowa/a01203196/2012,2.8,-1,-1,-1,-1,-1,9.9,-1,4.5,-1,-1,3.8,4.2,3.2,-1,5.6,6.1,3.8,4.3,3,2.4,3.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/iowa/a01049750/2011,3.4,7.2,5.3,-1,8.6,8,8.8,10.2,2.9,-1,-1,0.5,0.5,2.4,3.6,0.1,2.4,3.4,4.7,2.1,0,0.2,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/texas/a01049914/2011,3.5,-1,5.5,-1,-1,9.7,9.9,9.6,3,-1,-1,0.5,0.8,2.4,3.6,0.7,2.7,3.6,5.2,2.1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/illinois/a01241066/2012,3.4,-1,6.6,-1,-1,9.7,8.8,10.2,3.1,-1,-1,0.5,0.8,2.1,2.6,0.7,2.7,3.9,4.7,2.8,0.4,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/nebraska/a01241171/2012,2.8,-1,6.5,6.9,8.6,9.2,9.9,-1,4.7,-1,-1,6.3,6.5,-1,5.6,6.4,9.5,8.6,-1,9.2,3.2,6.9,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/iowa/a01203121/2012,4.4,-1,6.6,-1,-1,9.7,9.9,-1,3.5,-1,-1,1.1,1,3.2,3.1,1.3,3.6,4.8,5.2,3,0.4,0.5,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/iowa/a01300195/2012,7.1,-1,-1,9.2,7,3.1,4.8,4.1,6,-1,-1,2.5,2.5,5.6,2.1,0.4,1.7,3.9,1.1,1.8,2.1,2.6,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/minnesota/a01125993/2012,3.8,7.6,-1,8.6,-1,6.6,6.2,7.4,5.3,-1,-1,4.6,5.7,-1,4.3,2.3,5.5,5.5,5.7,4.9,3.9,4.8,-1,3.4,4,2,-1,-1,-1,-1,-1
a/swine/minnesota/a01300213/2012,-1,-1,-1,9.2,-1,8.3,6.2,6.4,7.7,-1,-1,2.5,3,3.1,1.6,0.3,2.7,5.9,3,2.5,4.3,4.8,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/minnesota/a01327922/2012,-1,-1,-1,9.2,-1,5.8,6.2,5.7,7.5,-1,-1,2,2.8,4,3,0.3,1.7,4.5,2.6,1.8,3.3,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
a/swine/michigan/a01432375/2013,-1,-1,-1,-1,-1,-1,-1,7.7,-1,-1,-1,-1,-1,-1,-1,2.3,2.7,0.5,4.6,4.5,3,2.2,-1,6.7,9,5.3,-1,-1,-1,-1,-1
a/swine/iowa/a01432500/2013,-1,-1,-1,-1,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,-1,5.7,8.3,6.5,-1,5.5,4.7,4.8,-1,0,-1,5.4,-1,-1,-1,-1,-1
