,antigen,antiserum,Random Forest,AdaBoosted,MLP Network,Ensemble
30,a01728784|2016-01-04|cluster_iva,a/swine/missouri/a01410819/2014,6.0347753396029296,6.3,5.2644869505602845,5.866420763387738
31,a01729044|2016-01-07|cluster_iva,a/wuhan/359/1995,4.491473354231976,5.3,3.8329447379502,4.541472697394059
32,a01729044|2016-01-07|cluster_iva,a/sydney/5/1997,5.321149425287358,7.6,6.854347288060703,6.591832237782687
33,a01729044|2016-01-07|cluster_iva,a/moscow/10/1999,6.823834900731451,7.2,8.277709478284718,7.433848126338724
34,a01729044|2016-01-07|cluster_iva,a/fujian/411/2002,6.681091954022982,8.1,7.348508972411805,7.376533642144929
35,a01729044|2016-01-07|cluster_iva,a/wisconsin/67/2005,7.777507836990593,8.7,10.434804544580244,8.970770793856945
36,a01729044|2016-01-07|cluster_iva,a/brisbane/10/2007,7.424430512016716,8.7,8.22754368124683,8.117324731087848
37,a01729044|2016-01-07|cluster_iva,a/perth/16/2009,7.418810270189575,9.1,7.640583433096734,8.05313123442877
38,a01729044|2016-01-07|cluster_iva,a/victoria/361/2011,7.570193312434684,9.1,8.970383226551688,8.54685884632879
39,a01729044|2016-01-07|cluster_iva,a/swine/texas/4199-1/1998,5.01919017763844,7.2,5.503380335640859,5.907523504426433
40,a01729044|2016-01-07|cluster_iva,a/swine/colorado/23619/1999,5.708521421107624,7.6,5.859764654904483,6.389428692004036
41,a01729044|2016-01-07|cluster_iva,a/swine/minnesota/1146/2006,4.940752351097183,5.159999999999999,5.724586227316147,5.275112859471109
42,a01729044|2016-01-07|cluster_iva,a/swine/iowa/1700/2007,4.849090909090915,5.2,4.767948376983854,4.9390130953582565
43,a01729044|2016-01-07|cluster_iva,a/swine/minnesota/2782/2009,4.675360501567402,4.2,4.0853200086986,4.320226836755334
44,a01729044|2016-01-07|cluster_iva,a/swine/illinois/02970/2009,5.378474399164064,5.2,5.5195057072565685,5.365993368806879
45,a01729044|2016-01-07|cluster_iva,a/indiana/8/2011,3.633641588296764,4.0,2.844861577291091,3.492834388529285
46,a01729044|2016-01-07|cluster_iva,a/swine/newyork/a01104005/2011,2.891295715778481,2.7,1.8196357467842472,2.470310487520909
47,a01729044|2016-01-07|cluster_iva,a/swine/indiana/a00968373/2012,2.7552142110762823,2.6333333333333333,2.393432089469029,2.593993211292881
48,a01729044|2016-01-07|cluster_iva,a/swine/indiana/a01202866/2011,6.2901567398119305,6.9,6.881694782901082,6.69061717423767
49,a01729044|2016-01-07|cluster_iva,a/swine/illinois/a01201606/2011,5.606489028213169,6.9,4.759174469846375,5.755221166019848
50,a01729044|2016-01-07|cluster_iva,a/swine/iowa/a01202613/2011,5.641901776384539,6.6,5.106893122355713,5.782931632913417
51,a01729044|2016-01-07|cluster_iva,a/swine/iowa/a01049750/2011,5.070287356321845,5.2,3.90570082370235,4.725329393341398
