seq	rf	ada	mlp	ens	rfstd	adastd	mlpstd	ensstd
a/swine/illinois/a01240784/2012	0.8976	0.8424	0.7865	0.7765	1.0063	1.0575	0.7554	0.8627
a/swine/illinois/a01327868/2012	0.8765	1.0156	0.7405	0.8648	0.9225	1.1074	0.7533	0.8414
a/swine/illinois/a01493027/2014	0.6451	0.8214	0.6548	0.7071	0.7452	0.9939	0.7048	0.7574
a/swine/illinois/a01840351/2015	1.3013	1.2121	1.283	1.2391	1.1398	1.1627	1.1335	1.0509
a/swine/illinois/a01475273/2014	0.8668	0.99	0.8418	0.7907	1.023	1.1528	0.8898	0.9222
a/swine/illinois/a01503899/2014	0.974	1.078	0.7638	0.9093	0.989	1.0772	0.7718	0.8969
a/swine/illinois/a01489882/2015	0.6884	0.8714	0.9735	0.7944	0.7136	0.8108	0.9431	0.7289
a/swine/illinois/a01502036/2014	0.7784	0.7563	0.8295	0.7633	0.954	0.9685	0.936	0.9145
a/swine/wyoming/a01445305/2013	0.7845	0.9508	0.6408	0.7309	1.0165	1.2446	0.7745	0.9692
a/swine/wyoming/a01397400/2013	0.7868	0.7243	1.0602	0.7	0.9853	0.9502	1.0846	0.887
a/swine/wyoming/a01444566/2013	0.8157	0.9516	0.6238	0.7835	1.0664	1.1794	0.8948	1.0217
a/swine/wyoming/a01381202/2013	0.9076	0.994	0.8113	0.8729	1.0408	1.116	0.9651	0.9745
a/swine/nebraska/a01493501/2014	0.8443	0.7788	0.7356	0.7661	0.5768	0.5451	0.6165	0.5034
a/swine/minnesota/a01366992/2014	1.0305	1.0625	0.9852	0.9974	1.0644	1.0139	0.8929	0.9434
a/swine/indiana/a01260466/2014	0.4681	0.7956	0.6782	0.6325	0.5622	0.9334	0.6624	0.6774
a/swine/north_carolina/a01410118/2014	0.9235	0.9422	0.821	0.8322	1.152	1.1982	0.9786	1.0852
a/swine/north_carolina/a01410709/2014	0.9166	0.7038	1.1181	0.9009	0.4823	0.4591	0.8593	0.5555
a/swine/iowa/a01501685/2014	0.7653	0.6187	0.786	0.714	0.7419	0.8241	0.8047	0.7103
a/swine/illinois/a01327903/2012	0.9875	1.2159	1.0251	1.0522	1.2442	1.3447	1.35	1.2706
a/swine/illinois/a00843193/2014	0.7213	0.8567	0.8179	0.7449	0.8842	1.1057	0.9378	0.9529
a/swine/wyoming/a01444562/2013	0.8148	0.825	0.9457	0.7823	1.0717	1.0494	0.9572	0.9587
a/swine/indiana/a01260591/2014	0.4453	0.425	0.6878	0.4996	0.543	0.5346	0.548	0.4928
a/swine/california/a01459016/2015	0.4556	0.5	0.4587	0.462	0.493	0.4948	0.4038	0.4123
a/swine/minnesota/a01847477/2015	0.4298	0.5333	0.4591	0.4047	0.4733	0.4714	0.5672	0.4768
a/swine/illinois/a02076652/2015	0.7078	0.6929	0.6286	0.652	0.6404	0.5557	0.6036	0.5666
a/swine/iowa/a01733626/2016	0.5954	0.6274	0.523	0.5293	0.7148	0.9395	0.6472	0.704
a/swine/minnesota/a01365586/2013	0.7632	0.6923	0.3418	0.5949	0.8893	0.8871	0.4339	0.7083
a/swine/iowa/a01432770/2013	0.7725	0.9231	1.118	0.9047	0.8891	1.0119	0.5943	0.7983
a/swine/illinois/a01728585/2015	0.6164	0.6077	0.9698	0.649	0.7915	0.8046	0.8268	0.7355
